discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
121000,48,"Hop 6 quan lot nam thun lanh Han Quoc CITYMEN cao cap co gian 4 chieu, khang khuan, tham hut tot ( Giao mau ngau nhien )",250000,129000,4.5,13,80
0,0,"Bo quan ao the thao nam phoi mau LCT, chat vai cotton cao cap chong nhan, thoang mat, tham hut mo hoi - THE DUST",329000,329000,0,0,
0,0,COmbo 5 quan DUI May 10,125000,125000,4.5,3490,10434
0,0,Quan Ao Team Building - Du Size Nguyen Bo (DDB60),99000,99000,0,0,
180000,42,"Quan tay nam cong so cao cap AKUBA form regular, co gian nhe, chat lieu mem min ,thoang mat tham hut mo hoi tot 01T0039",429000,249000,4.5,68,203
0,0,"Do bo the thao nam mac nha hoa tiet hoat hinh, set do nam han quoc thoi trang bo nam he nang dong Cao Cap",29897,29897,0,0,
85000,25,"Combo 4 quàn lót nam Boxer sọi cạp 1cm sọi tre tụ nhien mèm mịn thám hút mò hoi, co giãn 4 chièu MRM Manlywear (3 mau)",340000,255000,4.7,543,1664
0,0,BO LAM XICH,195000,195000,0,0,
0,0,"Ao phong nam, ao thun nam co co tay ngan vai thun cotton 100% mac thoang mat - ATN04",75000,75000,5,1,4
0,0,QUAN NGU NAM COTTON HOA TIET HOA LA (HINH THAT),85000,85000,0,0,
48000,48,Combo 5 Quan lot nam nhieu lung Hieu CITYMEN,100000,52000,4.5,602,1998
0,0,Ao Giu Nhiet Nam Thun Om Body Dai Tay Lot Trong The Thao Tap Gym Da Bong,49000,49000,0,0,
0,0,Quan kaki nam TRUNG NIEN Santino chat lieu cotton cao cap dang xuong thoai mai sang trong KKG595K611,535500,535500,3.7,3,17
0,0,Ao Bomber Nam Jodan Paris Tay Da Cao Cap - Ao Khoac Nam Max Dinh Moi Nhat,699000,699000,0,0,
77000,31,Ao Khoac Kaki Nam Hai Lop Simple Cao Cap ShopN6-KK35,245000,168000,3.9,908,3246
0,0,Bo Quan Ao The Thao Nam Chat thun lanh Thong hoi thoang khi tham hut mo hoi,99000,99000,0,0,
212000,44,"Quan tay nam di hoc ong dung ton dang AKUBA form slimfit chong nhan, co gian, mem mai, ben mau 01K3008",481000,269000,4.7,23,51
0,0,Set 3 ao lot sieu nhe khong gong,80000,80000,0,0,
79200,44,"Quan Jean Nam Den Tron cao cap thuong hieu Chandi, phong cach ton dang nam tinh chat jean co dan Mau J20",178200,99000,4.6,364,942
0,0,"SET BO DO NAM CUC DEP , CHAT THUN LANH MAC SUONG , THOAI MAI CHO AE MAU MOI NHAT HIEN NAY",96030,96030,0,0,
114000,22,"Quan tay nam cong so AKUBA dang om vai min, co gian nhe, chong nhan chong xu 02E710",515000,401000,5,7,29
0,0,"Bo Quan Ao dui thoi trang Nam MENSWEAR, chat vai dui thai loai day bo do nam vai dui tre trung.",130000,130000,0,0,
56000,22,Combo 3 quàn lót nam sọi cotton Organic mèm mịn thoáng mát co giãn 4 chièu MRM Manlywear (TANG Doi Tat Nam Cao Cap mau ngau nhien),255000,199000,4.6,794,2542
0,0,"SET DO MAC NHA NAM , DO BO NAM CUC DEP HOT NHAT 2021 THOI TRANG NYNA STORE",89000,89000,0,0,
136000,31,"Ao khoac hoodie nam AKUBA form oversize, chat lieu day dan, ben mau 01C513",435000,299000,4.7,3,6
0,0,"Bo the thao nam nu thoi trang cao cap MENSWEAR, chat lieu ni do ben cao, chong nhan tuyet doi.",168000,168000,3,1,2
127500,50,"Quan Short Gio The Thao Nam 5S (QSG002S1-02) Tre Trung, Nang Dong, Nam Tinh",255000,127500,4.7,946,2696
0,0,Ao 3 lop tran bong nam dang bo xuat khau. Ao phao nam xuat khau made in Viet Nam,295000,295000,0,0,
0,0,"Ao Thun Nam Polo Ngan Tay NAIKYO TS2021 Chat Lieu 100% Polyester Nang Dong, Tre Trung, Nam Tinh ",500000,500000,4,1,6
0,0,Set Bo the thao nam ha noi thoi trang dao pho cua gioi tre - HB19,98000,98000,0,0,
0,0,Combo 5 quan lot nam hang det kim cao cap (Co tui zip) - Quan sip tam giac - WS27B,125000,125000,4.5,94,224
0,0,Set 2 bo ni da ca ke hm organic,220000,220000,0,0,
150000,50,Ao Phong Nam Polo Co Co Tay Ngan Tron Mua He Nhieu Mau VICERO,300000,150000,4.3,91,271
0,0,Bo ni nam cao cap phom xuat au anh tu chup,265000,265000,0,0,
245000,50,"Combo 4 quan dui nam the thao Sport ngan vai Thun Poly 2 Da thoang mat, chat lieu hut am, do co gian tot",490000,245000,4.5,264,613
0,0,Hot nhat thu dong,500000,500000,0,0,
126000,45,"Ao thun nam tay ngan tron AKUBA form slimfit vai min, co gian 4 chieu thoai mai van dong 01J655",279000,153000,4.8,4,41
0,0,Bo dui xanh than pha hoa - BD1,100000,100000,0,0,
185000,46,Hop 4 quan lot nam Boxer Nanjiren( quan sip dui ) hang nhap cap cap QL3,400000,215000,4.7,180,495
0,0,Bo Ni Nam Thu Dong Da Ca Cheo Sieu Mem Dep Bo Mac Ngu Nam,255000,255000,0,0,
109000,46,"Combo 10 quan lot nam CM, Thuong hieu CITYMEN, do lot nam hang Viet Nam xuat khau",238000,129000,4.5,171,535
0,0,Bo Ni Nam The Thao Thu Dong  ̀ ̀ Chat Cotton Da Ca Cao Cap In Chu Khoe Khoan Nang Dong Ma 1NiM01,539000,539000,0,0,
130000,33,"Set 2 quàn dùi nam, quàn Short Gió nam thẻ thao Basic trẻ trung nang dọng, thoáng mát co giãn 4 chièu MRM Manlywear",399000,269000,4.8,258,686
46000,26,Ao Khoac Big Size Ao Khoac Du Nam Co Co Tru Chong Nang Chong Nong Chong Lanh Chong Gio 2 Lop Phoi Logo Sot Thoi Trang Nam Tinh Han Quoc Gia Tot AD70 ,175000,129000,4.5,169,483
0,0,"Quan lot nam tam giac chat lieu mong nhe, co gian thoai mai chinh hang Santino",95000,95000,4.8,13,35
121000,35,Combo 5 quàn dùi nam Cotton mạc nhà thoải mái thoáng mát JAMANO- MÀU NGÃU NHIEN,350000,229000,4.5,162,511
0,0,"Ao khoac jeans nam in hinh cun de thuong mat cuoi , ao khoac nam form vua phoi ni mem co dan loi cuon co mu co 3 size Julido mau khoac AKJ8686 - Mau Xanh",199000,199000,4.6,853,1890
100000,40,Ao thun nam tron tay lo GENZ Premium Cotton phong Unisex form rong oversize nhieu mau - GZT01,250000,150000,5,259,644
0,0,"Ao khoac phao beo sieu nhe Santino mu chum chat lieu giu nhiet, chong tham nuoc phom dang vua van 01",685000,685000,3.7,3,7
0,0,QUAN DA ,335000,335000,0,0,
0,0,Combo 4 Quan Sip Dui Boxer  Thong Hoi Thoang Mat - Quan Lot Nam (Giao Mau Ngau Nhien),85000,85000,4.5,830,6987
0,0,Bo Thun Nam Dai Tay Mac Nha Cho Nam Kieu Dang Han Quoc Tre Trung DONASHOP99 BN120,500000,500000,0,0,
150000,50,Ao Phong Nam Polo Co Co Tay Ngan Tron Mua He Nhieu Mau VICERO,300000,150000,4.3,91,271
0,0,Bo Quan Ao Dui Nam,450000,450000,0,0,
265000,54,"Bo The Thao Nam 5S (8 mau), Chat Lieu Coolmax Sieu Mat, Dang The Thao Tre Trung, Nang Dong (BTSO21051)",494000,229000,4.8,417,1037
0,0,Phu kien bo am ta coi xay,90000,90000,0,0,
114000,22,"Quan tay nam cong so AKUBA dang om vai min, co gian nhe, chong nhan chong xu 02E710",515000,401000,5,7,29
0,0,"Set Bo The Thao, Do Bo Quan Ao Co Tron, Do Bo Thun Lanh Mac Mat - K085 ",179000,179000,0,0,
173000,51,Bo Mac Nha The Thao Nam Mua He Nang Dong ZERO,338000,165000,4.5,356,862
0,0,SET BO MU 3 MAU,125000,125000,0,0,
80000,10,Ao Khoac Nam Biluxury ( 5AG2T009) Polyester 2 Lop Can Gio Chong Nuoc Chong Bam Bui Dang Cap Mac 2 Mat Da Nang,799000,719000,4.3,6,11
0,0,Ao giu nhiet cotton co tron bigsize,150000,150000,0,0,
240000,40,Quan Tui Hop Thao Ong US ARMY U880 Chuyen Phuot Chat Vai Gio Cao Cap Mau Kho Ong Co The Thao Roi Lam Quan Short -HANG CHINH HANG,599000,359000,4.7,161,297
0,0,Ao loang tiedye dang thung unisex ma so 11,109000,109000,0,0,
0,0,"Ao POLO nam ngan tay co be Santino chat lieu the thao co dan, dang slim tre trung nang dong TSP365B858",365000,365000,0,0,
0,0,Set bo do nam Free Style du size (Mau moi 2021) Phong Cach Han Quoc Thoang Mat tre trung Nang Dong,49985,49985,0,0,
135000,45,Bo Mac Nha Nam Mua He Mat Me Cao Cap Thoi Trang ZERO,300000,165000,4.5,275,674
0,0,BO NI THU DONG NEVER STOP  BO NI DAI TAY MUA DONG SET BO NI DAI (anh that +video shop quay),99000,99000,0,0,
212000,44,"Quan tay nam di hoc ong dung ton dang AKUBA form slimfit chong nhan, co gian, mem mai, ben mau 01K3008",481000,269000,4.7,23,51
0,0,"Ao thun nam cao cap hang vnxk, ao phong nam hang xuat khau chat cotton thoang mat",249600,249600,0,0,
0,0,Ao khoac phao nam co mu dep thoi trang han quoc 3 lop vai du cao cap chong nuoc khong bam ban giu nhiet mua dong mau den mau 2019 Viet Nam xuat khau LC,189000,189000,3.5,10,27
0,0,Short V+Ao thun NamNu BIGSIZE,139000,139000,0,0,
0,0,Ao so mi nam tay ngan hoa tiet Santino chat lieu soi tre chong tia UV dang slim ta ngang sang trong ASN495S607,495000,495000,0,0,
0,0,{SIEU PHAM MUA DONG} AO KHOAC NAM/AO KHOAC NAM NI NGOAI LOT LONG GIU NHIET BAO DEP SIEU AM AP CO SIZE 3XL THOI TRANG NYN,169000,169000,0,0,
45000,50,Quan dui thun lanh mua he,90000,45000,5,22,67
0,0,Bo Dui Nam co tau ( Mat - Nhe Nhu Khong),60000,60000,0,0,
0,0,Quan kaki nam TRUNG NIEN Santino chat lieu cotton cao cap dang xuong thoai mai sang trong KKG595K611,535500,535500,3.7,3,17
0,0,Bo Ni The Thao Thoi Trang Thiet Ke Nang Dong Tre Trung Cao Cap ZERO,509000,509000,0,0,
214500,50,"Ao Thun Nam 5S Co Co (4 Mau) Chat Lieu Cotton Premium, Sieu Mat, Phom Dang Tre Trung, (APC21014)",429000,214500,4.8,249,544
0,0,Bo Mac Nha Nam Kieu Dang The Thao Phoi Mau Nang Dong Thoi Trang ZERO,600000,600000,0,0,
0,0,"Ao khoac phao nam beo sieu nhe Santino mu chum chat lieu giu nhiet, chong tham nuoc phom dang vua van 04",685000,685000,4,3,9
0,0,Bo pyjama nam sizee 45-90kg tro xuong,180400,180400,0,0,
191000,58,Quan Short Nam Kaki Vicero 6 Mau Phong Cach Han Quoc,330000,139000,4.3,645,2659
0,0,Hang Thai xin Ao lot soc ban tay co gong sieu day MS707,65000,65000,0,0,
161000,34,Ao khoac du nam AKUBA Cao cap 2 lop | 01CW011,469000,308000,4.2,5,15
0,0,set do bo nam the thao,170000,170000,0,0,
106000,49,"Combo 3 Quan sip nam thong hoi, quan lot nam chat cotton thun lanh min mat - ZQ204",215000,109000,4.3,189,767
0,0,SET BO THUN THE THAO SIEU HOT,102000,102000,0,0,
0,0,Ao so mi nam tim nhat tron dai tay Santino chat lieu soi tre dang slim sang trong ASD380M106,380000,380000,0,0,2
0,0,"Bo dui nam dai tay, chat lieu dui moc cao cap gia sieu re",229000,229000,0,0,
679000,50,"Ao Khoac Kaki Nam Cao Cap US ARMY U789, Ao Khoac Nam Kieu Linh Co Mu Lot Bong Cuu Sieu Am Phong Cach Cuc Ngau -HANG CHINH HANG",1358000,679000,5,99,123
