discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
121000,48,"Hộp 6 quần lót nam thun lạnh Hàn Quốc CITYMEN cao cấp co giãn 4 chiều, kháng khuẩn, thấm hút tốt ( Giao màu ngẫu nhiên )",250000,129000,4.5,13,80
0,0,"Bộ quần áo thể thao nam phối màu LCT, chất vải cotton cao cấp chống nhăn, thoáng mát, thấm hút mồ hôi - THE DUST",329000,329000,0,0,
0,0,COmbo 5 quần ĐÙI May 10,125000,125000,4.5,3490,10434
0,0,Quần Áo Team Building - Đủ Size Nguyên Bộ (DDB60),99000,99000,0,0,
180000,42,"Quần tây nam công sở cao cấp AKUBA form regular, co giãn nhẹ, chất liệu mềm mịn ,thoáng mát thấm hút mồ hôi tốt 01T0039",429000,249000,4.5,68,203
0,0,"Đồ bộ thể thao nam mặc nhà hoạ tiết hoạt hình, set đồ nam hàn quốc thời trang bộ nam hè năng động Cao Cấp",29897,29897,0,0,
85000,25,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear (3 màu)",340000,255000,4.7,543,1664
0,0,BỘ LAM XÍCH,195000,195000,0,0,
0,0,"Áo phông nam, áo thun nam có cổ tay ngắn vải thun cotton 100% mặc thoáng mát - ATN04",75000,75000,5,1,4
0,0,QUẦN NGỦ NAM COTTON HỌA TIẾT HOA LÁ (HÌNH THẬT),85000,85000,0,0,
48000,48,Combo 5 Quần lót nam nhiều lưng Hiệu CITYMEN,100000,52000,4.5,602,1998
0,0,Áo Giữ Nhiệt Nam Thun Ôm Body Dài Tay Lót Trong Thể Thao Tập Gym Đá Bóng,49000,49000,0,0,
0,0,Quần kaki nam TRUNG NIÊN Santino chất liệu cotton cao cấp dáng xuông thoải mái sang trọng KKG595K611,535500,535500,3.7,3,17
0,0,Áo Bomber Nam Jodan Paris Tay Da Cao Cấp - Áo Khoác Nam Max Đỉnh Mới Nhất,699000,699000,0,0,
77000,31,Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,245000,168000,3.9,908,3246
0,0,Bộ Quần Áo Thể Thao Nam Chất thun lạnh Thông hơi thoáng khí thấm hút mồ hôi,99000,99000,0,0,
212000,44,"Quần tây nam đi học ống đứng tôn dáng AKUBA form slimfit chống nhăn, co giãn, mềm mại, bền màu 01K3008",481000,269000,4.7,23,51
0,0,Set 3 áo lót siêu nhẹ không gọng,80000,80000,0,0,
79200,44,"Quần Jean Nam Đen Trơn cao cấp thương hiệu Chandi, phong cách tôn dáng nam tính chất jean co dãn Mẫu J20",178200,99000,4.6,364,942
0,0,"SET BỘ ĐỒ NAM CỰC ĐẸP , CHẤT THUN LẠNH MẶC SƯỚNG , THOẢI MÁI CHO AE MẪU MỚI NHẤT HIỆN NAY",96030,96030,0,0,
114000,22,"Quần tây nam công sở AKUBA dáng ôm vải mịn, co giãn nhẹ, chống nhăn chống xù 02E710",515000,401000,5,7,29
0,0,"Bộ Quần Áo đũi thời trang Nam MENSWEAR, chất vải đũi thái loại dày bộ đồ nam vải đũi trẻ trung.",130000,130000,0,0,
56000,22,Combo 3 quần lót nam sợi cotton Organic mềm mịn thoáng mát co giãn 4 chiều MRM Manlywear (TẶNG Đôi Tất Nam Cao Cấp màu ngẫu nhiên),255000,199000,4.6,794,2542
0,0,"SET ĐỒ MẶC NHÀ NAM , ĐỒ BỘ NAM CỰC ĐẸP HOT NHẤT 2021 THỜI TRANG NYNA STORE",89000,89000,0,0,
136000,31,"Áo khoác hoodie nam AKUBA form oversize, chất liệu dày dặn, bền màu 01C513",435000,299000,4.7,3,6
0,0,"Bộ thể thao nam nữ thời trang cao cấp MENSWEAR, chất liệu nỉ độ bền cao, chống nhăn tuyệt đối.",168000,168000,3,1,2
127500,50,"Quần Short Gió Thể Thao Nam 5S (QSG002S1-02) Trẻ Trung, Năng Động, Nam Tính",255000,127500,4.7,946,2696
0,0,Áo 3 lớp trần bông nam dáng bo xuất khẩu. Áo phao nam xuất khẩu made in Viet Nam,295000,295000,0,0,
0,0,"Áo Thun Nam Polo Ngắn Tay NAIKYO TS2021 Chất Liêu 100% Polyester Năng Động, Trẻ Trung, Nam Tính ",500000,500000,4,1,6
0,0,Set Bộ thể thao nam hà nội thời trang dạo phố của giới trẻ - HB19,98000,98000,0,0,
0,0,Combo 5 quần lót nam hàng dệt kim cao cấp (Có túi zip) - Quần sịp tam giác - WS27B,125000,125000,4.5,94,224
0,0,Set 2 bộ nỉ da cá kẻ hm organic,220000,220000,0,0,
150000,50,Áo Phông Nam Polo Có Cổ Tay Ngắn Trơn Mùa Hè Nhiều Màu VICERO,300000,150000,4.3,91,271
0,0,Bộ nỉ nam cao cấp phom xuất âu ảnh tự chụp,265000,265000,0,0,
245000,50,"Combo 4 quần đùi nam thể thao Sport ngắn vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",490000,245000,4.5,264,613
0,0,Hot nhất thu đông,500000,500000,0,0,
126000,45,"Áo thun nam tay ngắn trơn AKUBA form slimfit vải mịn, co giãn 4 chiều thoải mái vận động 01J655",279000,153000,4.8,4,41
0,0,Bộ đữi xanh than pha hoa - BĐ1,100000,100000,0,0,
185000,46,Hộp 4 quần lót nam Boxer Nanjiren( quần sịp đùi ) hàng nhập câp cấp QL3,400000,215000,4.7,180,495
